一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
挡[擋]	 	Etym: From hand 扌手 and phonetic 当. Meaning to obstruct.Phon: 當 dang3 dang4 dang1 尚 shang4 chang2 dang4 Simplify: (扌) left of (s当當)
挣[掙]	 	Etym: From hand 扌手 and phonetic (also meaning contest) 争爭. Meaning to struggle.Phon: 爭 zheng1 zheng4 
挤[擠]	 	說文: 排也從手齊聲Etym: From hand 扌手 and phonetic 齐. Meaning to squeeze.Phon: 齊 qi2 zhai1 zi1 Simplify: (扌) left of (s齐齊)
挥[揮]	 	說文: 奮也從手軍聲Etym: From hand 扌手 and phonetic 军. Meaning to wipe away.Phon: 軍 jun1 Simplify: (s车車) left of (军)
挨[挨]	 	說文: 擊背也從手矣聲Etym: From hand 扌手 and phonetic 矣.  Meaning to hit from behind.Phon: 矣 yi3 厶 yi3 
挪[挪]	 	Etym: From hand 扌手 and phonetic 那. Meaning to move.Phon: 那 na1 na3 na4 nei3 nei4 nuo2 
挫[挫]	 	說文: 摧也從手坐聲Etym: From hand 扌手 and phonetic 坐. Meaning to push down, to break.Phon: 坐 zuo4 
振[振]	 	說文: 舉救也從手辰聲有曰奮也Etym: From hand 扌手 and phonetic 辰. Meaning to raise.Phon: 辰 chen2 
挺[挺]	 	說文: 拔也從手廷聲Etym: From hand 扌手 and phonetic 廷. Meaning to streighten.Phon: 廷 ting2 (壬 D844 DE3C) ting2 zheng1 
挽[挽]	 	Etym: From hand 扌手 and phonetic 免. Meaning to pull back.Phon: 免 mian3 
捂[捂]	 	Etym: From hand 扌手 and phonetic 吾. Meaning to resist.Phon: 吾 wu2 五 wu3 
捅[捅]	 	Etym: From hand 扌手 and phonetic 甬. Meaning to jab.
捆[捆]	 	Etym: From hand 扌手 and phonetic 困. Meaning to tie up.Phon: 困 kun4 
捉[捉]	 	說文: 搤也從手足聲一曰握也Etym: From hand 扌手 and phonetic 足. Meaning to grasp.Phon: 足 zu2 ju4 
捌[捌]	 	Etym: From hand 扌手 and phonetic, also indicating separate 别. Meaning separate.
捍[捍]	 	Etym: From hand 扌手 and phonetic 旱. Meaning to ward off.
捎[捎]	 	說文: 自關巳西凡取物之上者為撟捎從手肖聲Etym: From hand 扌手 and phonetic 肖. Meaning to select.Phon: 肖 xiao4 小 xiao3 
捏[捏]	 	Etym: From hand 扌手 and earth 土 and phonetic 日. Meaning to pick with fingers.Phon: 圼 nie4 
捐[捐]	 	說文: 棄也從手肙聲Etym: From hand 扌手 and phonetic 肙. Meaning to give up.Phon: 肙 yuan4 
捕[捕]	 	說文: 取也從手甫聲Etym: From hand 扌手 and phonetic 甫. Meaning arrest.Phon: 甫 fu3 pu3 父 fu3 fu4 
捞[撈]	 	Etym: From hand 扌手 and phonetic 劳. Meaning to dredge.Phon: 勞 lao2 Simplify: (扌) left of (s艹冖) above (力)
损[損]	 	說文: 減也從手員聲Etym: From hand 扌手 and phonetic (also meaning small) 员. Meaning to diminish.Phon: 員 yuan2 yun2 yun4 Simplify: (扌) left of (B008贝貝)
捡[撿]	 	說文: 拱也從手僉聲Etym: From hand 扌手 and phonetic 佥僉. Meaning to pick upPhon: 僉 qian1 xian1 Simplify: (扌) left of (s佥僉)
换[換]	 	說文: 易也從手奐聲Etym: From hand 扌手 and phonetic 奂. Meaning to change.Phon: 奐 huan4 
捣[搗]	 	Etym: From hand 扌手 and phonetic 岛. Meaning to thresh.Phon: 島 dao3 鳥 niao3 dao3 Simplify: (扌) left of (s鸟鳥)
捧[捧]	 	Etym: From hand 扌手 and phonetic 奉. Meaning to hold up in two hands.Phon: 奉 feng4 丰 feng1 
捶[捶]	 	說文: 以仗擊也從手垂聲Etym: From hand 扌手 and phonetic 垂. Meaning to strike with a stick.Phon: 垂 chui2 zhui4 
捷[捷]	 	說文: 獵也軍獲得也從手疌聲春秋傳曰齊人來獻戎捷Etym: From hand 扌手 and phonetic 疌. Original meaning spoils of war.Phon: 疌 jie2 
捺[捺]	 	Etym: From hand 扌手 and phonetic 奈. Meaning to press.
捻[捻]	 	說文: 指捻也從手念聲Phon: 念 nian4 
掀[掀]	 	說文: 舉出也從手欣聲春秋傳曰掀公出於淖Etym: From hand 扌手 and phonetic 欣. Meaning to lift.Phon: 欣 xin1 斤 jin1 
掂[掂]	 	Etym: From hand 扌手 and phonetic 店. Meaning to heft.
授[授]	 	說文: 予也從手從受受亦聲Etym: From hand 扌手 and phonetic 受. Meaning to transfer.Phon: 受 shou4 
掉[掉]	 	說文: 搖也從手卓聲春秋傳曰尾大不掉Etym: From hand 扌手 and phonetic 卓. Mening to shake.Phon: 卓 zhuo2 
掌[掌]	 	說文: 手中也從手尚聲Etym: From hand 手 and phonetic 尚. Meaning the palm of the hand.Phon: 尚 shang4 chang2 dang4 
掏[掏]	 	Etym: From hand 扌手 and phonetic 匋. Meaning to pull on.Phon: 匋 tao2 yao2 
掐[掐]	 	Etym: From hand 扌手 and phonic 臽. Meaning to pinch.
排[排]	 	說文: 擠也從手非聲Etym: From hand 扌手 and phonetic 非. Meaning to row.Phon: 非 fei1 fei3 
掖[掖]	 	說文: 以手持人臂投地也從手夜聲一曰臂下也Etym: From hand 扌手 and phonetic 夜. Meaning to support with the arms.Phon: 夜 ye4 亦 yi1 
掘[掘]	 	說文: 搰也從手屈聲Etym: From hand 扌手 and phonetic 屈. Meaning to dig.Phon: 屈 qu1 jue2 ju2 出 chu1 
掠[掠]	 	說文: 奪取也從手京聲本音亮唐韻或作櫟Etym: From hand 扌手 and phonetic 京. Meaning to rob.Phon: 京 jing1 
探[探]	 	說文: 遠取之也從手罙聲Etym: From hand 扌手 and phonetic 罙. Meaning search for.
接[接]	 	說文: 交也從手妾聲Etym: From hand 扌手 and phonetic 妾. Meaning to receive.Phon: 妾 qie4 
控[控]	 	說文: 引也从手空聲詩曰控于大邦匈奴名引弓控弦Etym: From hand 扌手 and phonetic 空. Meaning to control.Phon: 空 kong1 kong4 工 gong1 
推[推]	 	說文: 排也從手佳聲Etym: From hand 扌手 and phonetic 隹. Meaning to push.Phon: 隹 zhui1 cui1 wei2 
掩[掩]	 	說文: 斂也小上曰掩從手奄聲Etym: From hand 扌手 and phonetic 奄. Meaning to gather with the hands.Phon: 奄 yan3 yan1 
措[措]	 	說文: 置也從手昔聲Etym: From hand 扌手 and phonetic 昔. Meaning to collect.Phon: 昔 xi2 cuo4 
掰[掰]	 	Etym: From separate 分 and phonetic 拜. Meaning to tear.
掷[擲]	 	Etym: From hand 扌手 and phonetic 郑鄭. Meaning to throw.Phon: 鄭 zheng4 奠 dian4 zheng4 Simplify: (扌) left of (s郑)
掺[摻]	 	Etym: From hand 扌手 and phonetic 参. Meaning to mix.Simplify: (扌) left of (s参參)
揆[揆]	 	說文: 葵也從手癸聲Phon: 癸 gui3 
揉[揉]	 	Etym: From hand 扌手 and phonetic 柔. Meaning to rub.Phon: 柔 rou2 
揍[揍]	 	Etym: From hand 扌手 and phonetic 奏. Meaning to hit.Phon: 奏 zou4 
描[描]	 	Etym: From hand 扌手 and phonetic 苗. Meaning to copy.Phon: 苗 miao2 
提[提]	 	說文: 挈也從手是聲Etym: From hand 扌手 and phonetic 是. Meaning to hold in hand.Phon: 是 shi4 ti2 
插[插]	 	說文: 刺肉也從手臿聲Etym: From hand 扌手 and phonetic (From pestal 干 in morter 臼) 臿. Meaning to insert.Phon: 臿 cha1 
揖[揖]	 	說文: 攘也從手咠聲一曰手箸胷曰揖Etym: From hand 扌手 and phonetic 咠. Meaning salute.Phon: 咠 qi4 
握[握]	 	說文: 搤持也從手屋聲Etym: From hand 扌手 and phonetic 屋. Meaning to grasp.Phon: 屋 wu1 
揣[揣]	 	說文: 量也從手耑聲度高曰揣一曰捶之徐锴曰此字與耑聲不相近如喘遄之類皆當從瑞省Etym: From hand 扌手 and phonetic 耑. Meaning to measure.Phon: 耑 duan1 zhuan1 
揩[揩]	 	Etym: From hand 扌手 and phonetic 皆. Meaning to rub.Phon: 皆 jie1 
揪[揪]	 	Etym: From hand 扌手 and phonetic 秋. Meaning to pinch.Phon: 秋 qiu1 
揭[揭]	 	說文: 高舉也從手曷聲Etym: From hand 扌手 and phonetic 曷. Meaning to rise.Phon: 曷 he2 e4 he4 匃丐 gai4 
援[援]	 	說文: 引也從手爰聲Etym: From hand 扌手 and phonetic (also meaning to pull) 爰. Meaning to aidPhon: 爰 yuan2 
揽[攬]	 	Etym: From hand 扌手 and phonetic 览. Meaning to grasp.Phon: 覽 lan3 監 jian1 jian4 kan4 Simplify: (扌) left of (s监監) above (s见見)
搀[攙]	 	說文: 剌也從手毚聲Etym: From hand 扌手 and rabbit 免 and two 二. Meaning give helping hand.Phon: 毚 chan2 Simplify: (扌) left of (dbl毚㲋)(las免兔)
搁[擱]	 	Etym: From hand 扌手 and phonetic 阁. Meaning to put.Phon: 閣 ge2 各 ge4 ge3 Simplify: (扌) left of (s门門)cup(各)
搂[摟]	 	說文: 曳聚也從手婁聲Etym: From hand 扌手 and phonetic 娄. Meaning to hug.Phon: 婁 lü3 lou2 女 nü3 nü4 ru3 Simplify: (扌) left of (s娄婁)
搅[攪]	 	說文: 亂也從手覺聲詩曰祇攪我心Etym: From hand 扌手 and phonetic 觉. Meaning to stur up.Phon: 覺 jue2 jiao4 學 xue2 Simplify: (扌) left of (s见見)
搏[搏]	 	說文: 索持也一曰至也從手尃聲Etym: From hand 扌手 and phonetic (also meaning to grab a bell) 尃. Meaning to seize.Phon: 尃 fu1 bu4 甫 fu3 pu3 父 fu3 fu4 
搓[搓]	 	Etym: From hand 扌手 and phonetic 差. Meaning to rub.Phon: 差 cha1 cha4 cuo1 jie1 左 zuo3 
搔[搔]	 	說文: 括也從手蚤聲Etym: From hand 扌手 and phonetic (also a biting insect) 蚤. Meaning to scratch.Phon: 蚤 zao3 
搜[搜]	 	說文: 眾意也一曰求也從手叜聲詩曰束矢其搜Etym: From hand 扌手 and phonetic 叟. Meaning to search.Phon: 叟 sou3 
搞[搞]	 	Etym: From hand 扌手 and phonetic 高. Meaning to clear.Phon: 高 gao1 
搪[搪]	 	Etym: From hand 扌手 and phonetic 唐. Meaning to ward off.Phon: 唐 tang2 
搬[搬]	 	Etym: From hand 扌手 and phonetic 般. Meaning to move.Phon: 般 ban1 pan2 
搭[搭]	 	Etym: From hand 扌手 and phonetic (also indicating to join) 荅. Meaning to join.Phon: 荅 da2 ta4 
携[攜]	 	說文: 提也從手巂聲Etym: From hand 扌手 and phonetic 隽雟. Meaning to lead by hand.Phon: 雟 xi1 
摄[攝]	 	說文: 引持也從手聶Etym: From hand 扌手 and phonetic 聂聶 . Meaning to teke in.Phon: 聶 nie4 zhe2 she4 Simplify: (扌) left of (s聂聶)
摆[擺]	 	Etym: From hand 扌手 and phonetic 罢罷. Meaning to put.Phon: 罷 ba4 Simplify: (扌) left of (B007罢罷)
摇[搖]	 	說文: 動也從手**聲Etym: From hand 扌手 and phonetic 䍃*. Meaning to wag.Phon: 䍃 you2 
摊[攤]	 	說文: 開也從手難聲Etym: From hand 扌手 and phonetic 难難. Meaning to spread out.Phon: 難 nan2 nan4 
摔[摔]	 	Etym: From hand 扌手 and phonetic 率. Meaning to throw.Phon: 率 shuai4 lu4 
摘[摘]	 	說文: 拓果樹實也從手啻聲一曰指近之也臣鉉等曰當從適省乃得聲Etym: From hand 扌手 and phonetic 啇. Meaning to select.Phon: 啇啻 di4 shi4 zhai1 chi4 帝 di4 
摧[摧]	 	說文: 擠也從手崔聲一曰挏也一曰折也Etym: From hand 扌手 and phonetic 崔. Meaning to destroy.Phon: 崔 cui1 隹 zhui1 cui1 wei2 
摩[摩]	 	說文: 研也從手麻聲Etym: From phonetic 麻(广𣏟) and hand 手. Meaning to rub.Phon: 麻 ma2 
摸[摸]	 	Etym: From hand 扌手 and phonetic 莫. Meaning to caress.Phon: 莫 mo4 mu4 
摹[摹]	 	說文: 規也從手莫聲Etym: From hand 手 and phonetic 莫. Meaning to copy.Phon: 莫 mo4 mu4 
摺[摺]	 	說文: 敗也從手習聲Phon: 習 xi2 Simplify: (扌) left of (unk習斤)
撇[撇]	 	Etym: From hand 扌手 and phonetic 敝. Meaning to disguard.Phon: 敝 bi4 bie4 㡀 bi4 
撑[撐]	 	Etym: From hand 扌手 and phonetic (also meaning palm) 掌. Meaning to prop up.Phon: 牚 cheng1 cheng4 尚 shang4 chang2 dang4 
撒[撒]	 	Etym: From hand 扌手 and phonetic (indicating to walk around) 散. Meaning to cast away.Phon: 散 san4 
撕[撕]	 	Etym: From hand 扌手 and phonetic 斯. Meaning to tear.Phon: 斯 si1 
撞[撞]	 	說文: 卂擣也從手童聲Etym: From hand 扌手 and phonetic 童. Meaning to knock against.Phon: 童 tong2 zhong1 重 chong2 zhong4 tong2 dong4 
撤[撤]	 	Etym: From hand 扌手 and phonetic 徹. Meaning to remove.Phon: (徹-彳) che4 
撩[撩]	 	說文: 理也從手尞聲Etym: From hand 扌手 and phonetic 尞. Meaning to lift up.Phon: 尞 liao4 liao2 
撬[撬]	 	Etym: From hand 扌手 and （three hands) 毛. Meaning to raise.*Phon: 毳 cui4 qiao1 
播[播]	 	說文: 穜也一曰布也從手番聲Etym: From hand 扌手 and phonetic 番. Meaning to sow seeds.Phon: 番 fan1 pan1 bo1 po2 
撮[撮]	 	說文: 四圭也有曰兩指撮也從手最聲Etym: From hand 扌手 and phonetic 最. Meaning a pinch.Phon: 最 zui4 cuo1 
撰[撰]	 	Etym: From hand 扌手 and phonetic 巽. Meaning to compose.Phon: 巽 xun4 zhuan4 
撵[攆]	 	Etym: From hand 扌手 and phonetic (also meaning to cary) 辇輦. Meaning to drive away.Phon: 輦 nian3 Simplify: (扌) left of (竝) above (s车車)
撼[撼]	 	說文: 搖也從手咸聲臣鉉等曰今別作撼非是Etym: From hand 扌手 and phonetic 感. Meaning to move.Phon: 感 gan3 咸 xian2 jian3 jian1 
擂[擂]	 	Etym: From hand 扌手 and phonetic (also meaning thunder) 雷. Meaning to grind.Phon: 雷 lei2 畾 lei2 reduced 
擅[擅]	 	說文: 專也從手亶聲Etym: From hand 扌手 and phonetic 亶. Meaning to monopolize.Phon: 亶 dan3 dan1 dan4 旦 dan4 
操[操]	 	說文: 把持也從手喿聲Etym: From hand 扌手 and phonetic 喿. Meaning control.Phon: 喿 zao4 qiao1 
擎[擎]	 	Etym: From hand 手 and phonetic 敬. Meaning to lift up.Phon: 敬 jing4 
擒[擒]	 	Etym: From hand 扌手 and phonetic 禽. Meaning to catch.Phon: 禽 qin2 今 jin1 
擘[擘]	 	說文: 撝也從手辟聲Phon: 辟 bi4 pi4 
擦[擦]	 	Etym: From hand 扌手 and phonetic 察. Meaning wipe.Phon: 察 cha2 祭 ji4 zhai4 
攀[攀]	 	說文: **或從手從樊Etym: From hand 手 and phonetic 樊. Meaning to climb.Phon: 樊 fan2 棥 fan2 
攒[攢]	 	Etym: From hand 扌手 and phonetic 赞. Meaning to hoard.Simplify: (扌) left of (先) above (贝貝)
攘[攘]	 	說文: 推也從手襄聲Etym: From hand 扌手 and phonetic 襄. Meaning to seize.Phon: 襄 xiang1 
攫[攫]	 	說文: **也從手瞿聲Phon: 矍 jue2 瞿 ju4 qu2 
支[支]	 	說文: 去竹之枝也從手持半竹凡支之屬皆從支Etym: Primitive pictograph 支. A hand 又 holding a branch. Original meaning branch.Phon: 支 zhi1 zhi4 qi2  (productive phonetic)
收[收]	 	說文: 捕也從攴丩聲Etym: From hand 攵攴 and phonetic (also meaning to hook) 丩. Meaning to gather together.Phon: 丩 jiu1 
攸[攸]	 	說文: 行水也從攴從人水省徐锴曰攴入水所杖也Etym: Primitive pictograph 攸. From person 亻人 with a remnant pole丨and hand with pole 攵攴. Original meaning to ford a river.  Meaning far.Phon: 攸 you1  (productive phonetic)
改[改]	 	說文: 更也從己李陽冰曰已有過攴之即改Etym: From hand 攵攴 and (probably from shuttle) 己. Meaning to change. (See 己)Phon: 己 ji3 qi3 
攻[攻]	 	說文: 繫也從攴工聲Etym: From hand 攵攴 and phonetic (also meaning work) 工. Meaning attack.Phon: 工 gong1 
放[放]	 	說文: 逐也從攴方聲凡放之屬皆從放Etym: From hand 攵攴 and phonetic 方. Meaning to put.Phon: 放 fang4 方 fang1 fang3 pang2  (productive phonetic)
政[政]	 	說文: 正也從攴從正正亦聲Etym: From hand 攵攴 and straight, complete, correct 正 and . Meaning government.Phon: 正 zheng1 zheng4 
故[故]	 	說文: 使為之也從攴古聲Etym: From hand 攵攴 and phonetic (also meaning ancient) 古. Original meaning ancient and reason.Phon: 故 gu4 古 gu3 gu4 ku1  (productive phonetic)
效[效]	 	說文: 象也從攴交聲Etym: From hand 攵攴 and phonetic 交. Meaning result.Phon: 交 jiao1 
敌[敵]	 	說文: 仇也從攴啻聲Etym: From hand 攵攴 and phonetic 舌啇. Meaning enemy.Phon: 啇啻 di4 shi4 zhai1 chi4 帝 di4 Simplify: (super cursive simplification 舌(啇啻)) left of (攵攴)
敏[敏]	 	說文: 疾也從攴每聲Etym: From hand 攵攴 and phonetic 每. Meaning fast.Phon: 每 mei3 wu3 母 mu3 
救[救]	 	說文: 止也從攴求聲Etym: From hand 攵攴 and phonetic 求. Meaning to save. (see 求)Phon: 求 qiu2 
敕[敕]	 	說文: 誡也臿地曰敕從攴束聲
敖[敖]	 	說文: 出游也從出從放Etym: From to go out 出 and to put 放.  Meaning to ramble.Phon: 敖 ao2 ao4  (productive phonetic)
教[教]	 	說文: 上所施下所效也從攴從D846 DD49凡教之屬皆從教Etym: Addition primitive 教(𤕝). From hand 攵攴 and phonetic false remnant 孝( 爻子) [from child 子 and to twist 爻 交 indicating spinning]. (Not from 老 and 子) . Original meaning to teach spinning. Meaning to teach.Phon: 孝 xiao4 
敛[斂]	 	說文: 收也從攴僉聲Etym: From hand 攵攴 and phonetic 佥僉. Meaning to draw back.Phon: 僉 qian1 xian1 Simplify: (s佥僉) left of (攵)
敝[敝]	 	說文: 帗也一曰敗衣從攴從****亦聲Etym: From hand 攵攴 and phonetic (also means broken cloth) 㡀.  Meaning tattered.Phon: 敝 bi4 bie4 㡀 bi4  (productive phonetic)
敞[敞]	 	說文: 平治高士可以遠望也從攴尚聲Etym: From hand 攵攴 and phonetic (also a building) 尚. Meaning roomy.Phon: 敞 chang3 尚 shang4 chang2 dang4  (productive phonetic)
敢[敢]	 	說文: 籀文敢（D842 DF56）Etym: Primitive pictograph 敢. Unclear. (1) Possibly a hand with a weapon fighting an animal with a mouth. Meaning to dare.*Phon: 敢 gan3  (productive phonetic)
